symbol,n_v34,wr_v34,avg_pnl_v34,total_pnl_v34,pf_v34,max_loss_v34,comp_v34,n_rule,wr_rule,avg_pnl_rule,total_pnl_rule,pf_rule,max_loss_rule,comp_rule,comp_diff,pnl_diff,v34_loses
PVS,26,38.46,-0.181,-4.7,0.963,-23.37,-257.0,38,52.63,3.762,142.94,2.485,-14.6,393.4,-650.4,-147.64,True
PLX,22,40.91,0.399,8.77,1.139,-8.79,-149.8,36,47.22,2.513,90.47,2.553,-13.21,333.6,-483.40000000000003,-81.7,True
GAS,19,42.11,0.722,13.71,1.339,-10.87,-34.2,38,47.37,2.627,99.84,2.167,-19.46,243.6,-277.8,-86.13,True
BCM,21,52.38,3.201,67.22,2.177,-16.07,291.9,35,54.29,4.613,161.45,3.058,-12.0,514.3,-222.39999999999998,-94.22999999999999,True
PVD,24,41.67,2.823,67.74,1.801,-18.9,209.4,40,52.5,4.474,178.96,2.606,-13.96,423.9,-214.49999999999997,-111.22000000000001,True
OCB,18,27.78,-0.557,-10.03,0.871,-15.39,-317.6,37,43.24,0.397,14.68,1.143,-10.65,-153.5,-164.10000000000002,-24.71,True
EIB,26,34.62,0.83,21.57,1.198,-14.1,-121.3,45,40.0,1.472,66.25,1.506,-10.94,29.9,-151.2,-44.68,True
AAS,17,41.18,8.025,136.42,2.46,-36.21,415.6,34,50.0,7.462,253.72,3.055,-16.88,522.6,-107.0,-117.30000000000001,True
BID,21,47.62,0.464,9.75,1.144,-15.38,-110.4,43,37.21,0.977,42.02,1.372,-9.99,-32.6,-77.80000000000001,-32.27,True
BVH,24,54.17,1.058,25.4,1.325,-19.13,-42.3,45,42.22,1.218,54.79,1.634,-7.32,33.8,-76.1,-29.39,True
SBT,26,42.31,2.528,65.73,1.505,-39.29,44.7,39,38.46,2.671,104.16,1.893,-9.16,112.6,-67.89999999999999,-38.42999999999999,True
STB,25,56.0,4.09,102.25,2.351,-10.2,370.6,41,53.66,3.343,137.05,2.448,-14.27,411.8,-41.19999999999999,-34.80000000000001,True
NLG,21,47.62,2.037,42.77,1.328,-34.13,2.0,44,40.91,1.404,61.79,1.411,-12.36,-14.2,16.2,-19.019999999999996,False
KBC,22,40.91,4.73,104.07,1.824,-39.83,280.9,44,43.18,4.41,194.06,2.375,-23.01,259.5,21.399999999999977,-89.99000000000001,False
FRT,22,54.55,10.693,235.24,5.721,-10.79,611.6,38,55.26,8.635,328.12,4.435,-10.24,579.9,31.700000000000045,-92.88,False
DGC,26,53.85,9.622,250.16,3.786,-25.61,546.1,42,40.48,6.347,266.56,3.304,-15.78,509.8,36.30000000000001,-16.400000000000006,False
BSR,22,63.64,5.605,123.31,3.426,-24.87,518.8,41,46.34,6.137,251.6,2.83,-18.34,481.3,37.49999999999994,-128.29,False
VCI,23,56.52,10.47,240.8,3.712,-31.09,520.8,40,47.5,5.285,211.42,2.684,-18.65,482.3,38.49999999999994,29.380000000000024,False
AAV,25,56.0,9.323,233.08,3.409,-15.54,501.7,36,44.44,8.847,318.49,2.911,-27.23,462.2,39.5,-85.41,False
SSI,21,61.9,11.367,238.71,3.599,-35.88,510.6,41,43.9,5.653,231.76,2.901,-18.54,454.5,56.10000000000002,6.950000000000017,False
BCG,19,52.63,12.803,243.26,3.963,-35.4,538.6,36,44.44,5.312,191.24,3.018,-12.46,470.2,68.40000000000003,52.01999999999998,False
NKG,22,54.55,11.121,244.66,2.977,-46.24,471.1,43,37.21,6.26,269.2,2.62,-19.61,401.7,69.40000000000003,-24.539999999999992,False
MBB,21,42.86,4.456,93.57,2.003,-26.07,359.9,42,42.86,2.969,124.7,2.313,-13.69,281.2,78.69999999999999,-31.13000000000001,False
VDS,18,55.56,12.993,233.88,5.123,-24.41,563.0,38,50.0,6.751,256.53,2.738,-22.28,469.3,93.69999999999999,-22.649999999999977,False
HSG,21,52.38,12.495,262.4,4.08,-27.8,540.0,40,50.0,5.653,226.11,2.837,-25.26,441.2,98.80000000000001,36.289999999999964,False
HDG,23,47.83,4.854,111.64,2.332,-24.81,429.8,42,47.62,3.537,148.54,2.466,-10.25,325.2,104.60000000000002,-36.89999999999999,False
DPM,20,45.0,9.095,181.91,3.319,-19.6,490.1,44,47.73,4.184,184.1,2.524,-14.79,375.3,114.80000000000001,-2.1899999999999977,False
LPB,18,55.56,15.342,276.15,5.69,-12.09,579.3,42,50.0,4.805,201.79,2.463,-18.94,444.8,134.49999999999994,74.35999999999999,False
NT2,23,43.48,0.453,10.42,1.125,-16.17,-151.4,45,44.44,-0.275,-12.38,0.876,-10.75,-305.0,153.6,22.8,False
PDR,21,42.86,11.517,241.86,4.472,-10.18,596.2,38,39.47,4.974,189.02,2.709,-17.67,429.9,166.30000000000007,52.84,False
DIG,20,60.0,18.4,368.0,3.824,-57.44,542.3,44,36.36,6.44,283.36,2.664,-18.32,372.6,169.69999999999993,84.63999999999999,False
VND,19,57.89,22.958,436.21,10.724,-15.82,629.4,38,39.47,7.951,302.12,2.935,-18.36,434.6,194.79999999999995,134.08999999999997,False
VTP,19,47.37,9.21,174.99,3.855,-13.45,539.8,39,38.46,4.263,166.25,2.453,-10.27,329.7,210.09999999999997,8.740000000000009,False
VIC,17,52.94,22.756,386.85,8.234,-22.91,540.0,42,40.48,3.632,152.53,2.555,-8.93,319.5,220.5,234.32000000000002,False
DCM,19,57.89,10.4,197.6,5.663,-9.09,648.4,46,39.13,4.241,195.08,2.65,-12.42,426.0,222.39999999999998,2.519999999999982,False
HDB,24,50.0,3.729,89.5,2.259,-14.67,315.7,49,38.78,1.71,83.77,1.687,-7.39,83.9,231.79999999999998,5.730000000000004,False
TPB,23,47.83,3.342,76.86,2.012,-17.17,225.2,46,34.78,1.279,58.85,1.483,-11.33,-9.3,234.5,18.009999999999998,False
SAB,19,31.58,-0.515,-9.78,0.855,-12.56,-320.5,50,28.0,-1.263,-63.17,0.48,-8.6,-556.6,236.10000000000002,53.39,False
CTG,24,50.0,4.598,110.34,3.083,-11.73,572.2,38,50.0,2.382,90.53,2.132,-9.4,331.6,240.60000000000002,19.810000000000002,False
HCM,23,52.17,7.591,174.6,4.175,-15.26,596.7,40,50.0,4.057,162.29,2.155,-19.7,330.4,266.30000000000007,12.310000000000002,False
NVL,19,42.11,6.609,125.57,2.902,-15.75,459.5,38,42.11,2.994,113.76,1.97,-27.65,189.5,270.0,11.809999999999988,False
VPB,21,47.62,5.259,110.44,2.182,-16.23,309.6,47,36.17,1.884,88.54,1.557,-12.47,16.7,292.90000000000003,21.89999999999999,False
HPG,22,45.45,8.55,188.11,3.624,-16.55,583.2,43,39.53,3.187,137.06,2.427,-9.27,267.1,316.1,51.05000000000001,False
SHB,21,38.1,9.691,203.52,3.648,-13.19,532.1,44,43.18,3.711,163.3,2.135,-15.1,210.5,321.6,40.22,False
GEX,23,47.83,10.963,252.15,4.116,-16.5,552.3,46,47.83,3.249,149.44,1.953,-24.65,200.3,351.99999999999994,102.71000000000001,False
ACB,22,54.55,3.215,70.73,2.309,-12.31,324.5,45,40.0,0.965,43.42,1.385,-9.56,-43.3,367.8,27.310000000000002,False
FPT,20,60.0,7.31,146.2,6.713,-7.41,669.9,38,44.74,2.357,89.57,2.126,-10.68,297.3,372.59999999999997,56.629999999999995,False
ACV,18,55.56,4.807,86.52,2.86,-11.03,446.7,38,36.84,1.449,55.08,1.529,-16.45,46.5,400.2,31.439999999999998,False
PC1,23,52.17,5.586,128.47,3.064,-20.13,568.0,47,42.55,2.197,103.25,1.908,-9.06,157.0,411.0,25.22,False
TCB,23,52.17,4.309,99.11,2.325,-10.22,365.2,47,40.43,0.8,37.59,1.288,-9.98,-84.8,450.0,61.519999999999996,False
MWG,23,65.22,5.708,131.29,3.22,-21.5,553.5,44,45.45,1.358,59.76,1.615,-8.7,73.3,480.2,71.53,False
POW,19,52.63,5.027,95.51,2.699,-12.35,459.3,46,39.13,1.13,51.96,1.457,-7.82,-24.5,483.8,43.550000000000004,False
PNJ,20,65.0,2.228,44.55,1.941,-9.81,247.1,46,39.13,-0.085,-3.93,0.969,-11.54,-248.1,495.2,48.48,False
VJC,20,55.0,2.756,55.12,2.853,-15.52,351.0,47,25.53,0.359,16.87,1.135,-11.08,-167.3,518.3,38.25,False
REE,19,47.37,4.597,87.35,2.597,-10.71,478.1,46,41.3,0.796,36.61,1.341,-12.81,-68.9,547.0,50.739999999999995,False
VCB,21,57.14,2.497,52.43,3.088,-8.05,469.3,50,26.0,0.435,21.77,1.22,-5.09,-104.9,574.2,30.66,False
KDH,24,50.0,4.71,113.05,2.746,-14.68,508.8,48,35.42,0.576,27.64,1.223,-10.48,-100.0,608.8,85.41,False
MSN,19,52.63,5.234,99.44,2.48,-22.59,460.8,48,39.58,0.142,6.8,1.046,-9.95,-205.1,665.9,92.64,False
VNM,20,50.0,1.509,30.17,1.686,-11.11,158.2,48,25.0,-1.115,-53.51,0.584,-10.19,-528.3,686.5,83.68,False
GMD,18,72.22,7.473,134.51,8.395,-6.17,667.4,48,35.42,1.151,55.25,1.373,-10.23,-24.6,692.0,79.25999999999999,False
VHM,20,50.0,5.611,112.22,3.593,-16.36,501.1,42,30.95,0.02,0.84,1.006,-18.83,-226.1,727.2,111.38,False
