model,feature_set,trades,win_rate,avg_pnl,total_pnl,profit_factor,max_loss,score
v22,leading,8887,43.82,3.998,35528.72,2.173,-57.76,14691.8
v22,leading_v2,8751,44.63,4.287,37515.57,2.288,-57.76,15513.7
v23,leading,8944,43.76,4.009,35860.01,2.211,-52.99,14846.0
v23,leading_v2,8795,44.54,4.302,37836.64,2.328,-57.76,15649.7
v24,leading,10041,43.38,4.034,40502.4,2.255,-57.76,16695.7
v24,leading_v2,9916,44.14,4.227,41918.14,2.344,-57.76,17283.5
v25,leading,10116,43.57,4.02,40662.91,2.256,-49.7,16785.2
v25,leading_v2,9990,44.24,4.184,41796.72,2.331,-57.76,17232.7
v26,leading,9928,43.59,4.091,40617.16,2.279,-49.7,16771.5
v26,leading_v2,9848,44.18,4.198,41342.37,2.33,-57.76,17050.6
v27,leading,9915,43.58,4.092,40572.12,2.275,-49.7,16752.7
v27,leading_v2,9833,44.21,4.205,41350.76,2.33,-57.76,17054.0
