config,trades,wr,avg_pnl,total_pnl,pf,max_loss,avg_hold,comp,delta_vs_v26,delta_vs_rule
J2+J3+J4+J5,2040,45.73529411764706,3.5205637254901965,7181.9500000000135,2.2778997601474678,-35.8,18.95637254901961,3449.6364226177343,16.840000000000146,-439.7099999999682
J1+J2+J3+J5,2045,45.770171149144254,3.5097799511002443,7177.500000000014,2.2750774106557534,-35.8,18.952078239608802,3447.4663378768773,12.390000000000327,-444.159999999968
J1+J2+J3+J4+J5,2045,45.770171149144254,3.5097799511002443,7177.500000000014,2.2750774106557534,-35.8,18.952078239608802,3447.4663378768773,12.390000000000327,-444.159999999968
J5 trend_persistence_hold,2040,45.68627450980392,3.5182941176470592,7177.320000000013,2.276265227990872,-35.8,18.954901960784312,3447.212418147199,12.210000000000036,-444.3399999999683
J3 rule_priority,2046,45.60117302052786,3.504271749755621,7169.740000000013,2.2746227104403713,-35.8,18.892961876832846,3443.426407190719,4.630000000000109,-451.91999999996824
J1+J2+J3,2051,45.63627498781083,3.493559239395417,7165.290000000014,2.271808006475039,-35.8,18.88883471477328,3441.258976234067,0.18000000000029104,-456.36999999996806
J1+J2+J3+J4,2051,45.63627498781083,3.493559239395417,7165.290000000014,2.271808006475039,-35.8,18.88883471477328,3441.258976234067,0.18000000000029104,-456.36999999996806
J2 hardcap_two_step,2046,45.552297165200386,3.5020087976539593,7165.110000000013,2.2729916710490756,-35.8,18.89149560117302,3441.0038200358226,0.0,-456.54999999996835
J4 dynamic_score5_penalty,2046,45.552297165200386,3.5020087976539593,7165.110000000013,2.2729916710490756,-35.8,18.89149560117302,3441.0038200358226,0.0,-456.54999999996835
J1 selective_choppy,2051,45.58751828376402,3.49130180399805,7160.6600000000135,2.2701813389244507,-35.8,18.887372013651877,3438.8378592037157,-4.449999999999818,-460.99999999996817
J1+J2,2051,45.58751828376402,3.49130180399805,7160.6600000000135,2.2701813389244507,-35.8,18.887372013651877,3438.8378592037157,-4.449999999999818,-460.99999999996817
