model,mode,total_return_pct,ann_return_pct,sharpe,max_dd_pct,profit_factor,win_rate_pct,trades,avg_win_pct,avg_loss_pct,max_win_pct,max_loss_pct,avg_hold,expectancy,final_equity,f1,n_filtered,n_regime,n_sl,n_trail,n_partial
lightgbm,original,101.36,3.2,0.25,-79.53,1.24,21.4,285,11.05,-1.91,87.16,-12.28,5.1,0.86,201357633,0.7651141860235847,0,0,0,0,0
lightgbm,v3,-16.98,-0.83,0.097,-86.88,3.0,37.7,284,8.34,-1.44,80.32,-5.13,4.9,2.24,83023288,0.7651141860235847,23,0,40,43,0
lightgbm,v4,126.51,3.75,0.275,-70.46,7.44,47.8,228,25.53,-1.85,110.75,-7.78,5.7,11.24,226505638,0.7651141860235847,149,19,5,19,50
random_forest,original,429.29,7.79,0.407,-55.2,1.37,22.7,225,12.95,-2.24,87.16,-14.28,6.9,1.2,529285093,0.7702993895078377,0,0,0,0,0
random_forest,v3,279.07,6.18,0.356,-56.52,3.16,38.2,249,10.29,-1.64,80.32,-5.24,5.9,2.91,379069426,0.7702993895078377,13,0,31,55,0
random_forest,v4,327.37,6.75,0.39,-59.3,7.18,44.9,207,27.03,-1.93,110.75,-7.01,7.0,11.08,427371694,0.7702993895078377,78,14,7,33,41
xgboost,original,65.25,2.29,0.217,-68.4,1.17,19.4,283,11.31,-1.87,87.16,-12.28,5.0,0.69,165247310,0.7657603902646862,0,0,0,0,0
xgboost,v3,-18.66,-0.93,0.091,-81.51,2.85,35.5,282,8.59,-1.43,80.32,-5.13,4.9,2.12,81339470,0.7657603902646862,23,0,38,44,0
xgboost,v4,166.27,4.51,0.308,-58.67,8.01,46.3,229,27.12,-1.83,110.75,-7.53,5.7,11.57,266266279,0.7657603902646862,136,19,5,18,52
